"ID","DCE_version","task","choice_forced","choice_tx","choice_best","goal1","form1","mag1","dir1","goal2","form2","mag2","dir2","goal3","form3","mag3","dir3"
"a1f0075c-2f51-fc77-fa10-30db9666f994",1,"1",2,1,2,90,"donate",160,"neg",60,"cash",500,"pos","SQ","SQ","SQ","SQ"
"a1f0075c-2f51-fc77-fa10-30db9666f994",1,"2",1,1,1,90,"cash",500,"neg",60,"donate",300,"pos","SQ","SQ","SQ","SQ"
"a1f0075c-2f51-fc77-fa10-30db9666f994",1,"3",2,1,2,30,"donate",160,"pos",90,"cash",300,"neg","SQ","SQ","SQ","SQ"
"a1f0075c-2f51-fc77-fa10-30db9666f994",1,"4",1,1,1,30,"cash",500,"pos",60,"donate",300,"neg","SQ","SQ","SQ","SQ"
"a1f0075c-2f51-fc77-fa10-30db9666f994",1,"5",2,1,2,90,"voucher",160,"pos",30,"cash",300,"neg","SQ","SQ","SQ","SQ"
"a1f0075c-2f51-fc77-fa10-30db9666f994",1,"6",1,1,1,30,"cash",500,"neg",90,"voucher",300,"pos","SQ","SQ","SQ","SQ"
"a1f0075c-2f51-fc77-fa10-30db9666f994",1,"7",2,1,2,30,"donate",300,"neg",60,"voucher",160,"pos","SQ","SQ","SQ","SQ"
"a1f0075c-2f51-fc77-fa10-30db9666f994",1,"8",2,1,2,90,"donate",300,"pos",30,"voucher",160,"neg","SQ","SQ","SQ","SQ"
"fe27ec0c-4af3-0527-2d40-db0cd9f8dcc8",1,"1",2,1,2,90,"donate",160,"neg",60,"cash",500,"pos","SQ","SQ","SQ","SQ"
"fe27ec0c-4af3-0527-2d40-db0cd9f8dcc8",1,"2",1,0,0,90,"cash",500,"neg",60,"donate",300,"pos","SQ","SQ","SQ","SQ"
"fe27ec0c-4af3-0527-2d40-db0cd9f8dcc8",1,"3",2,0,0,30,"donate",160,"pos",90,"cash",300,"neg","SQ","SQ","SQ","SQ"
"fe27ec0c-4af3-0527-2d40-db0cd9f8dcc8",1,"4",1,1,1,30,"cash",500,"pos",60,"donate",300,"neg","SQ","SQ","SQ","SQ"
"fe27ec0c-4af3-0527-2d40-db0cd9f8dcc8",1,"5",2,0,0,90,"voucher",160,"pos",30,"cash",300,"neg","SQ","SQ","SQ","SQ"
"fe27ec0c-4af3-0527-2d40-db0cd9f8dcc8",1,"6",1,1,1,30,"cash",500,"neg",90,"voucher",300,"pos","SQ","SQ","SQ","SQ"
"fe27ec0c-4af3-0527-2d40-db0cd9f8dcc8",1,"7",1,0,0,30,"donate",300,"neg",60,"voucher",160,"pos","SQ","SQ","SQ","SQ"
"fe27ec0c-4af3-0527-2d40-db0cd9f8dcc8",1,"8",2,0,0,90,"donate",300,"pos",30,"voucher",160,"neg","SQ","SQ","SQ","SQ"
"d0fd5052-c0b3-939b-f71e-67d6e94ad790",1,"1",2,1,2,90,"donate",160,"neg",60,"cash",500,"pos","SQ","SQ","SQ","SQ"
"d0fd5052-c0b3-939b-f71e-67d6e94ad790",1,"2",1,1,1,90,"cash",500,"neg",60,"donate",300,"pos","SQ","SQ","SQ","SQ"
"d0fd5052-c0b3-939b-f71e-67d6e94ad790",1,"3",1,0,0,30,"donate",160,"pos",90,"cash",300,"neg","SQ","SQ","SQ","SQ"
"d0fd5052-c0b3-939b-f71e-67d6e94ad790",1,"4",1,1,1,30,"cash",500,"pos",60,"donate",300,"neg","SQ","SQ","SQ","SQ"
"d0fd5052-c0b3-939b-f71e-67d6e94ad790",1,"5",1,0,0,90,"voucher",160,"pos",30,"cash",300,"neg","SQ","SQ","SQ","SQ"
"d0fd5052-c0b3-939b-f71e-67d6e94ad790",1,"6",1,1,1,30,"cash",500,"neg",90,"voucher",300,"pos","SQ","SQ","SQ","SQ"
"d0fd5052-c0b3-939b-f71e-67d6e94ad790",1,"7",2,0,0,30,"donate",300,"neg",60,"voucher",160,"pos","SQ","SQ","SQ","SQ"
"d0fd5052-c0b3-939b-f71e-67d6e94ad790",1,"8",2,1,2,90,"donate",300,"pos",30,"voucher",160,"neg","SQ","SQ","SQ","SQ"
